,start_learning_rate,width,depth,l2_weight,train_loss,val_loss,train_acc,val_acc
66,0.001,512.0,2.0,0.0,1.015336275100708,1.0734707117080688,0.6338425874710083,0.6244444251060486
67,0.001,512.0,2.0,1e-05,0.9696900248527527,1.072231650352478,0.6521759033203125,0.6214814782142639
68,0.001,512.0,2.0,0.0001,1.077616810798645,1.1217747926712036,0.6257407665252686,0.6174073815345764
69,0.001,512.0,3.0,0.0,1.0083303451538086,1.058890461921692,0.6390740871429443,0.6174073815345764
70,0.001,512.0,3.0,1e-05,0.8641682267189026,0.9873298406600952,0.6866666674613953,0.648888885974884
71,0.001,512.0,3.0,0.0001,0.9489963054656982,1.0321849584579468,0.672175943851471,0.6466666460037231
72,0.001,1024.0,1.0,0.0,1.133226752281189,1.2307952642440796,0.5959722399711609,0.5537037253379822
73,0.001,1024.0,1.0,1e-05,1.164408564567566,1.2720028162002563,0.5931018590927124,0.554444432258606
74,0.001,1024.0,1.0,0.0001,1.2657172679901123,1.3279829025268555,0.5805092453956604,0.5488888621330261
75,0.001,1024.0,2.0,0.0,1.0306934118270874,1.0905662775039673,0.6291203498840332,0.6129629611968994
76,0.001,1024.0,2.0,1e-05,0.9580027461051941,1.0594557523727417,0.653333306312561,0.6229629516601562
77,0.001,1024.0,2.0,0.0001,1.0480235815048218,1.1118271350860596,0.629537045955658,0.6196296215057373
78,0.001,1024.0,3.0,0.0,0.9662618637084961,1.0487421751022339,0.647685170173645,0.6303703784942627
79,0.001,1024.0,3.0,1e-05,0.969880998134613,1.0289950370788574,0.6527777910232544,0.6366666555404663
80,0.001,1024.0,3.0,0.0001,1.0242429971694946,1.083807110786438,0.6384259462356567,0.6211110949516296
